username;password;age;email
ab;longpassword;108;good@mail.com
ab;null;57;null
VeryLongUserName123;valid1;31;perfect@school.edu
abc;valid1;106;good@mail.com
VeryLongUserName123;null;96;good@mail.com
null;;119;bad-email
VeryLongUserName123;short;46;null
null;;92;bad-email
VeryLongUserName123;null;69;null
ab;;83;bad-email
null;valid1;94;good@mail.com
null;longpassword;104;bad-email
ab;longpassword;86;bad-email
ab;longpassword;56;null
VeryLongUserName123;short;107;perfect@school.edu
null;null;;bad-email
;null;85;null
ab;;117;
abc;valid1;79;
VeryLongUserName123;;118;
ab;valid1;20;good@mail.com
ab;null;119;bad-email
null;valid1;109;perfect@school.edu
abc;short;23;null
VeryLongUserName123;longpassword;;null
abc;longpassword;;good@mail.com
VeryLongUserName123;null;;bad-email
VeryLongUserName123;valid1;118;perfect@school.edu
abc;valid1;57;perfect@school.edu
VeryLongUserName123;longpassword;74;bad-email
;valid1;84;good@mail.com
VeryLongUserName123;;31;good@mail.com
abc;valid1;40;bad-email
VeryLongUserName123;valid1;;perfect@school.edu
VeryLongUserName123;;;perfect@school.edu
abc;valid1;63;
VeryLongUserName123;valid1;112;good@mail.com
abc;valid1;105;null
abc;valid1;59;null
VeryLongUserName123;longpassword;;bad-email
abc;longpassword;19;perfect@school.edu
ab;short;11;bad-email
ab;valid1;66;bad-email
null;null;25;perfect@school.edu
abc;short;80;null
null;null;112;null
abc;valid1;66;perfect@school.edu
abc;longpassword;99;good@mail.com
VeryLongUserName123;null;66;perfect@school.edu
ab;longpassword;81;good@mail.com
abc;null;118;
abc;longpassword;58;good@mail.com
null;valid1;67;bad-email
;short;113;bad-email
null;null;107;bad-email
VeryLongUserName123;valid1;98;good@mail.com
;short;68;null
ab;longpassword;114;null
null;short;87;null
VeryLongUserName123;short;;good@mail.com
null;longpassword;31;perfect@school.edu
VeryLongUserName123;longpassword;29;perfect@school.edu
null;;41;
;short;20;bad-email
null;valid1;60;good@mail.com
abc;null;125;
null;valid1;72;good@mail.com
VeryLongUserName123;short;48;
null;longpassword;84;null
abc;short;124;null
abc;longpassword;16;good@mail.com
VeryLongUserName123;null;;bad-email
VeryLongUserName123;longpassword;12;bad-email
VeryLongUserName123;longpassword;34;null
abc;longpassword;36;good@mail.com
ab;;;bad-email
ab;valid1;103;null
ab;valid1;73;perfect@school.edu
abc;null;113;bad-email
abc;longpassword;43;bad-email
abc;short;47;perfect@school.edu
;valid1;67;perfect@school.edu
abc;null;53;bad-email
null;null;76;bad-email
abc;longpassword;124;null
null;short;23;perfect@school.edu
ab;null;52;null
ab;longpassword;85;bad-email
ab;;35;perfect@school.edu
null;null;91;good@mail.com
VeryLongUserName123;valid1;107;good@mail.com
VeryLongUserName123;;27;bad-email
;valid1;20;
abc;longpassword;90;good@mail.com
abc;valid1;103;perfect@school.edu
null;valid1;61;good@mail.com
abc;short;22;perfect@school.edu
null;valid1;14;good@mail.com
VeryLongUserName123;short;104;perfect@school.edu
abc;short;86;perfect@school.edu
abc;null;;perfect@school.edu
abc;longpassword;125;null
ab;short;;bad-email
null;longpassword;;good@mail.com
null;null;123;
ab;valid1;109;good@mail.com
abc;null;106;
;short;119;null
ab;short;119;null
null;null;82;null
abc;null;113;perfect@school.edu
VeryLongUserName123;longpassword;97;
abc;valid1;;perfect@school.edu
null;valid1;20;perfect@school.edu
VeryLongUserName123;short;;bad-email
abc;;76;good@mail.com
null;null;75;good@mail.com
VeryLongUserName123;valid1;73;null
abc;valid1;119;bad-email
ab;;41;good@mail.com
null;;122;good@mail.com
ab;;102;null
VeryLongUserName123;valid1;118;good@mail.com
VeryLongUserName123;longpassword;42;null
VeryLongUserName123;short;93;good@mail.com
abc;longpassword;43;good@mail.com
ab;short;20;
ab;null;;good@mail.com
abc;null;66;good@mail.com
null;valid1;120;perfect@school.edu
abc;short;;
ab;longpassword;48;null
;longpassword;58;perfect@school.edu
null;short;70;perfect@school.edu
null;valid1;90;perfect@school.edu
abc;longpassword;119;perfect@school.edu
ab;valid1;105;good@mail.com
abc;valid1;107;bad-email
abc;short;14;bad-email
;null;101;bad-email
abc;longpassword;44;null
VeryLongUserName123;valid1;71;perfect@school.edu
ab;valid1;86;bad-email
;short;83;
null;longpassword;57;null
abc;longpassword;65;null
ab;;54;null
VeryLongUserName123;valid1;29;perfect@school.edu
null;null;89;null
abc;null;54;good@mail.com
null;short;61;good@mail.com
null;valid1;109;bad-email
ab;valid1;94;good@mail.com
null;valid1;48;null
abc;null;106;good@mail.com
abc;null;;perfect@school.edu
null;valid1;29;bad-email
ab;short;114;bad-email
VeryLongUserName123;null;114;bad-email
VeryLongUserName123;valid1;;bad-email
abc;null;111;perfect@school.edu
ab;null;106;bad-email
ab;longpassword;62;null
ab;;17;good@mail.com
null;;56;good@mail.com
ab;valid1;25;good@mail.com
ab;short;94;bad-email
;short;92;good@mail.com
null;null;;perfect@school.edu
ab;short;70;good@mail.com
abc;null;22;null
VeryLongUserName123;longpassword;57;good@mail.com
ab;valid1;39;good@mail.com
VeryLongUserName123;longpassword;57;
ab;longpassword;113;
ab;longpassword;;good@mail.com
VeryLongUserName123;longpassword;;perfect@school.edu
;valid1;;
VeryLongUserName123;longpassword;121;
VeryLongUserName123;null;15;bad-email
abc;valid1;82;
;valid1;65;good@mail.com
ab;short;55;perfect@school.edu
abc;longpassword;47;perfect@school.edu
null;null;97;bad-email
;null;33;good@mail.com
abc;valid1;18;bad-email
null;null;65;good@mail.com
VeryLongUserName123;null;117;good@mail.com
ab;valid1;66;perfect@school.edu
null;null;26;bad-email
;longpassword;77;good@mail.com
abc;longpassword;86;perfect@school.edu
abc;longpassword;103;bad-email
null;null;60;bad-email
null;short;98;good@mail.com
ab;longpassword;54;null
ab;short;37;good@mail.com
null;null;85;perfect@school.edu
abc;;35;null
;longpassword;56;perfect@school.edu
abc;null;96;null
abc;valid1;21;
null;short;54;bad-email
ab;valid1;34;good@mail.com
abc;valid1;74;null
ab;short;112;bad-email
ab;null;117;
ab;null;116;bad-email
ab;short;;null
null;short;;good@mail.com
abc;longpassword;112;good@mail.com
null;longpassword;35;null
;;84;null
abc;null;78;bad-email
;longpassword;99;bad-email
abc;short;50;bad-email
;short;54;null
null;longpassword;98;bad-email
abc;valid1;35;good@mail.com
null;valid1;36;bad-email
abc;null;23;perfect@school.edu
ab;longpassword;36;bad-email
VeryLongUserName123;short;;perfect@school.edu
;short;87;null
ab;short;;bad-email
ab;valid1;35;null
VeryLongUserName123;short;70;
VeryLongUserName123;valid1;86;perfect@school.edu
abc;short;31;null
null;;58;bad-email
abc;short;22;null
VeryLongUserName123;valid1;76;null
null;longpassword;116;null
null;valid1;;
VeryLongUserName123;null;72;null
ab;valid1;79;good@mail.com
ab;;95;bad-email
null;;90;good@mail.com
ab;valid1;32;perfect@school.edu
;valid1;89;bad-email
ab;longpassword;25;good@mail.com
null;null;;bad-email
ab;null;24;bad-email
null;short;37;bad-email
null;valid1;;null
abc;valid1;53;bad-email
abc;short;17;
abc;valid1;121;bad-email
null;longpassword;21;good@mail.com
;short;85;bad-email
VeryLongUserName123;longpassword;107;null
ab;longpassword;36;
;longpassword;;null
null;short;111;bad-email
null;valid1;57;perfect@school.edu
abc;valid1;19;good@mail.com
null;short;97;null
VeryLongUserName123;longpassword;26;good@mail.com
VeryLongUserName123;short;111;good@mail.com
abc;longpassword;99;good@mail.com
abc;;16;null
ab;longpassword;22;perfect@school.edu
null;null;35;bad-email
ab;longpassword;57;bad-email
null;valid1;102;perfect@school.edu
ab;;35;bad-email
abc;null;64;perfect@school.edu
abc;short;115;good@mail.com
VeryLongUserName123;null;124;
abc;short;73;null
abc;longpassword;79;perfect@school.edu
VeryLongUserName123;valid1;62;null
null;valid1;49;null
abc;;63;perfect@school.edu
VeryLongUserName123;null;;null
ab;null;121;null
ab;longpassword;13;null
abc;null;124;perfect@school.edu
VeryLongUserName123;valid1;;good@mail.com
ab;short;26;bad-email
abc;short;83;good@mail.com
VeryLongUserName123;longpassword;60;
;null;47;good@mail.com
ab;null;;perfect@school.edu
abc;short;36;good@mail.com
VeryLongUserName123;null;71;bad-email
null;null;73;bad-email
abc;longpassword;84;bad-email
VeryLongUserName123;short;29;good@mail.com
null;null;88;perfect@school.edu
VeryLongUserName123;short;30;perfect@school.edu
VeryLongUserName123;null;53;null
VeryLongUserName123;short;28;perfect@school.edu
ab;null;;perfect@school.edu
VeryLongUserName123;valid1;23;good@mail.com
abc;short;101;perfect@school.edu
null;longpassword;32;perfect@school.edu
null;short;80;bad-email
VeryLongUserName123;longpassword;;perfect@school.edu
;short;42;good@mail.com
abc;short;;good@mail.com
VeryLongUserName123;valid1;82;
ab;longpassword;35;null
VeryLongUserName123;longpassword;22;null
VeryLongUserName123;short;111;good@mail.com
null;short;37;
ab;short;13;null
VeryLongUserName123;longpassword;121;
ab;valid1;21;perfect@school.edu
null;valid1;47;bad-email
ab;null;44;
null;valid1;74;null
ab;null;105;perfect@school.edu
abc;valid1;103;bad-email
VeryLongUserName123;;76;perfect@school.edu
abc;;103;good@mail.com
ab;valid1;107;good@mail.com
